"№ 
п/п","Код материалов","Наименование и 
спецификация","Версия","Кол-
во","Примечание"
"1","02553707101001150","Выхлопная трубаⅠ","А","1",""
"2","02553207101001050","Опора выхлопной трубы","А","1",""
"3","02553207111001130","Трубный зажим на обеих сторон","А","1",""
"4","1040004518","Болт","А","4","JB/T5783-2000"
"5","1040004033","Болт","А","2","JB/T5783-2000"
"6","1040302489","Шайба","B","2","GB/T97.1-2002"
"7","02553207101001120","Регулировочная шайба","А","6",""
"8","1040202856","Гайка","А","8","GB/T889.1-2000"
"9","1040002436","Болт","А","8","JB/T5783-2000"
"10","1040302490","Шайба","B","8","GB/T97.1-2002"
"11","02154407100101030","Зажим","А","2",""
"12","02553200800001030","Кронштейн для постпроцессора I","А","2",""
"13","1040303581","Шайба","А","16","GB/T96.1-2002"
"14","1040000574","Болт","B","8","JB/T5783-2016"
"15","1089901079","Плоский обруч","А","1","Q187105"
"16","1040302480","Шайба","B","8","GB/T96.1-2002"
"17","02553207101001110","Выхлопной хвост","А","1",""
"18","1040004519","Болт","А","4","JB/T5783-2000"
"19","00771407101001030","Усиленная пластина","А","1",""
"20","1040200398","Гайка","А","8","GB/T6177.1-2000"
"21","02552907131001020","Выхлопная труба II","А","1",""
"22","1000001565","Постпроцессор в сборе","А","1","A060N052"
"23","1089901077","V-образный зажим","А","1","A029T534"
"24","1089901078","Прокладка","А","1","Q312526"
"25","02553207111001160","Выхлопная трубаⅠ","А","1",""
"26","1000201153","V-образный зажим","А","1","SV20/W2/97"
"27","02553207111001170","Герметизирующая прокладка II","А","1",""
