"№ 
п/п","Код материалов","Наименование и 
спецификация","Версия","Кол-
во","Примечание"
"9","1040005831","Болт","А","32","JB/T5789-1986"
"11","02552902800400001","Выносная опора I","B","2",""
"12","02552902800600001","Выносная опора II","B","2",""
"13","02552902800800000","Сварной элемент поворотной 
тележки I","А","2",""
"14","00772702801400000","Гидроцилиндр рулевого 
управления","B","4",""
"15","00772702800001090","Монтажная перегородка","А","4",""
"16","00772702800001100","Защитный кожух датчика","B","4",""
"17","00772702800001080","Вращающийся диск","B","4",""
"18","1040200504","Гайка","А","4","GB/T889.1-2000"
"19","1040302489","Шайба","B","5","GB/T97.1-2002"
"20","1040102598","Винт","B","16","GB/T70.1-2000"
"21","00772702800001070","Фланец для установки датчика","А","4",""
"22","00772702801600000","Сварка штифта","B","4",""
"23","00772702800001120","Прокладка II","А","4",""
"24","00772702800001210","Подшипник, не требующий 
смазывания III","А","8",""
"25","00772702800001230","Прокладка","А","8",""
"26","1040202510","Гайка","А","4","JB/ZQ4331-2006"
"27","1040500272","Штифт","А","4","JB/T91-2000"
"28","00772702800001170","Подшипник, не требующий 
смазки II","А","32",""
"29","00772702800001201","Прокладочное кольцо III","А","4",""
"30","00772702800001060","Штифт V","B","8",""
"31","00773400400001250","Стопорный штифт","E","16",""
"32","1040002446","Болт","А","16","JB/T5783-2000"
"33","00772702800001181","Прокладочное кольцо I","А","8",""
"34","00772702800001040","Штифт IV","B","8",""
"35","1040301515","Шайба","А","8","GB/T97.1-2002"
"36","1040301510","Шайба","А","8","JB/T93-1987"
"37","1040004517","Болт","А","8","JB/T5783-2000"
