"№ 
п/п","Код материалов","Наименование и 
спецификация","Версия","Кол-
во","Примечание"
"116","1039814324","Солнечное зубчатое колесо","А","1",""
"117","1039814325","Планетарный каркас","А","1",""
"118","1039814326","Планетарное колесо","А","3",""
"119","1050202956","Цилиндрический 
роликоподшипник","А","3",""
"120","1040304463","Пружинящее стопорное кольцо 
вала","А","3",""
"121","1110200082","Нажимная пружина","А","1",""
"122","1030700502","Шлицевой вал","А","1",""
"123","1039814327","Солнечное зубчатое колесо","А","1",""
"124","1081013423","Уплотнительное кольцо","А","2",""
"125","1081202012","Внутренняя зубчатая крышка","А","1",""
"126","1081202013","Внутренняя шестигранная 
заглушка","А","2",""
"127","1040105169","Винт с цилиндрической головкой 
и внутренней шестигранью","А","12","GB70.1-2000"
"128","1039814328","Цилиндрический ролик","А","1",""
"129","1081013424","Уплотнительное кольцо","А","1",""
"130","1081013425","Уплотнительное кольцо","А","1",""
"131","1081202014","Малая торцевая крышка","А","1",""
"132","1040009060","Болт с шестигранной головкой","А","4","GB5783-2000"
