"№ 
п/п","Код материалов","Наименование и 
спецификация","Версия","Кол-
во","Примечание"
"4","1020706505","24-жильный штепсель","А","2",""
"9","1022270089","Штепсель ITT","А","2","192900--0055"
"13","1029900403","Защитная оболочка розетки","А","1",""
"20","1020700951","Защитная оболочка штепселя 
(двойной)","А","6",""
"25","1020700949","Защитная оболочка штепселя 
(двойного)","А","3",""
"32","1020404399","Лампа предупреждения","B","1","JD90A-H03Y012"
"37","1020700959","Защитная оболочка штепселя","А","1",""
"41","1020700957","Защитная оболочка розетки","А","1",""
"44","1029907518","Проводящее контактное кольцо","А","1","XC025-10-EN"
"49","1020700440","Оболочка","B","1",""
"51","1020703145","4 штепселя высокого тока","B","1",""
"55","1020522288","Концевой выключатель","А","1","ZCP21+ZCE01+ZC 
Y25+ZC PEP16"
"58","1020706847","Защитный чехол для входящего 
конеца 48P","А","1",""
"60","1021405442","Датчик угла наклона","А","1","TLP300.2.V.360.6.2. 
R .0.N1"
"62","1022202106","Оболочка","А","1",""
