"№ 
п/п","Код материалов","Наименование и 
спецификация","Версия","Кол-
во","Примечание"
"5","02552900300200002","Сварной элемент стрелы первой 
секции","D","1",""
"28","1040302489","Шайба","B","20","GB/T97.1-2002"
"32","1040300771","Шайба","А","34","GB/T97.1-2002"
"33","1040002555","Болт","А","30","JB/T5783-2000"
"104","1040101492","Винт","А","2","GB/T70.1-2000"
"105","00772100300201620","Противоударный направляющий 
ползун","А","1",""
"106","00772100300201610","Монтажная переходная планка","А","1",""
"107","1040200504","Гайка","А","2","GB/T889.1-2000"
"108","1040201882","Гайка","А","6","JB/T6172-2000"
"109","1040302480","Шайба","B","2","GB/T96.1-2002"
"110","1040000135","Болт","А","2","JB/T5783-2000"
"111","00772700301401020","Верхний ползун","B","1",""
"112","00772700301201050","Регулировочная шайба","B","4",""
"113","00772100301201120","Болт","C","6",""
"114","00772700301201040","Регулировочная шайба","B","8",""
"115","02552900301401060","Верхняя прижимная планка","А","1",""
"116","02552900301401050","Верхняя щеточная доска","А","1",""
"117","02552900301401071","Боковая щеточная доска","А","1",""
"118","02552900301401080","Боковая прижимная планка","А","1",""
"119","02552900301401110","Боковая нижняя щеточная доска","А","2",""
"120","02552900301401120","Боковая нижняя прижимная 
планка","А","2",""
"121","02552900301401090","Нижняя щеточная доска","А","1",""
"122","02552900301401100","Нижняя прижимная планка","А","1",""
"123","02552900301401131","Боковая щеточная доска II","А","1",""
"124","02552900301401140","Боковая прижимная планка II","А","1",""
"125","00772500301240001","Ползун","А","4",""
"126","00772500301201040","Регулировочная шайба","B","12",""
"127","1040004581","Болт","А","12","JB/T5783-2000"
"128","1040002435","Болт","А","4","JB/T5783-2016"
"129","02552900301420000","Ползун","А","2",""
"130","02552900301401040","Регулировочная шайба","А","4",""
"131","1040005845","Болт","А","6","JB/T5783-2000"
"132","00772700301401030","Верхний ползун","B","1",""
