"№ 
п/п","Код материалов","Наименование и 
спецификация","Версия","Кол-
во","Примечание"
"12","1040301515","Шайба","А","26","GB/T97.1-2002"
"13","1040103110","Винт","А","12","GB/T70.1-2000"
"27","1040002439","Болт","А","3","JB/T5783-2000"
"34","00773700400001140","Подшипник","А","6",""
"42","00772100200001200","Защитный кожух датчика","А","2",""
"46","00773400200001070","Стопорный штифт","F","3",""
"60","00772700201400000","Шатун III","А","1",""
"61","00772700200001210","Медная прокладка","А","10",""
"62","00772700200001200","Защитный кожух III","А","1",""
"63","1040002447","Болт","А","2","JB/T5783-2000"
"64","00773400400001130","Подшипник","А","8",""
"65","00772700200001160","Прокладочное кольцо IV","А","1",""
"66","00772700200001040","Штифт IV","C","1",""
"67","00773400400001250","Стопорный штифт","E","2",""
"68","00773400400001040","Вал A21","C","1",""
"69","00772700200001060","Штифт VI","B","2",""
"70","00772700202000000","Шатун IV","А","1",""
"71","02552900200600000","Опора","B","1",""
