"№ 
п/п","Код материалов","Наименование и 
спецификация","Версия","Кол-
во","Примечание"
"216","1040100466","Винт","","1","JB/T78-2000"
"217","02551800301010004","Гайка","","1",""
"218","1081000452","О-образное кольцо","","1","GB/T3452.1-1992"
"219","1040301360","Стопорное кольцо","","2","PW1-B"
"220","1081008572","Уплотнительное кольцо STd","","1","PSK401400-M12N"
"221","1081008573","Уплотнительное кольцо GSF","","1","PT0401400-M12N"
"222","1081401639","Направляющее кольцо","","2","GP7301400-C480"
"223","1081401638","Направляющее кольцо","","2","GP7301400-M12"
"224","02551800301010001","Поршень","","1",""
"225","02551800301010005","Прокладочное кольцо","","1",""
"226","02552900302210006","Прокладочное кольцо","","1",""
"227","02552900302211000","Корпус цилиндра","","1",""
"228","02552900302212000","Поршневой шток","","1",""
"229","1040301005","Стопорное кольцо","","1","GB/T895.1-1986"
"230","1054400149","Комбинированная втулка","","1","SF-1 12080"
"231","02551800301010002","Направляющая втулка","","1",""
"232","1081000557","О-образное кольцо","","1","GB/T3452.1-2005"
"233","1040301079","Стопорное кольцо","","1","PW1-A"
"234","1081008574","Уплотнительное кольцо STd","","1","RSK301200-M12N"
"235","1081008645","U-образное кольцо","","1","GYW120135"
"236","1081401805","Направляющее кольцо","","1","DXH5815-120- 
AT603"
"237","1081200130","Пылезащитное кольцо типа А1","","1","A1 C010 P5008"
"238","02552900302210003","Нажимная крышка","","1",""
"239","1040300065","Шайба","","12","JB/T93-1987"
"240","1040100870","Винт","","12","GB/T70.1-2000"
