"№ 
п/п","Код материалов","Наименование и 
спецификация","Версия","Кол-
во","Примечание"
"1","00771400100401081","Болт собственного производства","B","1",""
"2","00771400120400001","Узел кронштейна","E","1",""
"3","00772700110200000","Узел платформы","B","1",""
"4","1040004653","Болт","А","8","JB/T5783-2000"
"5","1040006525","Болт","А","8","QC/T340-1999"
"6","1040102042","Винт","А","2","GB/T70.1-2000"
"7","1040201111","Гайка","А","1","JB/T889-1986"
"8","1040301511","Шайба","А","3","GB/T97.1-2002"
"9","1040302490","Шайба","B","8","GB/T97.1-2002"
"10","1040302821","Шайба","А","2","GB/T96.1-2002"
"11","1040200504","Гайка","А","4","GB/T889.1-2000"
"12","1040302512","Шайба","А","8","GB/T96.1-2002"
"13","1040004508","Болт","А","4","JB/T5783-2000"
"14","00772700100001020","Каучуковая прокладка","B","2",""
