"№ 
п/п","Код материалов","Наименование и 
спецификация","Версия","Кол-
во","Примечание"
"5","02552900300200002","Сварной элемент стрелы 
первой секции","D","1",""
"10","1040301515","Шайба","А","12","GB/T97.1-2002"
"11","1040004517","Болт","А","4","JB/T5783-2000"
"14","02552900302201010","Стальной трос выдвигающей 
верхней стрелы","C","3","PT07=10_Стальной 
трос"
"15","02552900302320000","Гнездо натяжения стального 
троса выдвигающей стрелы","B","1",""
"16","00772700302201330","Гнутая пластина","А","2",""
"17","00772500302201160","Пружина","А","2",""
"18","02552900302201170","Монтажная планка датчика","А","2",""
"19","00771600301001230","Направляющий стержень","А","6",""
"20","00772500302201220","Скоба II","B","3",""
"21","1040302489","Шайба","B","27","GB/T97.1-2002"
"22","1040102761","Винт","А","3","GB/T70.1-2000"
"23","1040201092","Гайка","B","3","JB/T6170-2000"
"24","1040201111","Гайка","А","3","JB/T889-1986"
"25","02552900302201180","Подкладка","B","1",""
"26","1040302490","Шайба","B","15","GB/T97.1-2002"
"27","1040002439","Болт","А","2","JB/T5783-2000"
"28","1040302489","Шайба","B","20","GB/T97.1-2002"
"29","1040004658","Болт","А","4","JB/T5782-2000"
"30","02552900301401010","Скоба","А","2",""
"31","02552900301401020","Регулировочная шайба","А","6",""
"32","1040300771","Шайба","А","34","GB/T97.1-2002"
"33","1040002555","Болт","А","30","JB/T5783-2000"
