"№ 
п/п","Код материалов","Наименование и 
спецификация","Версия","Кол-
во","Примечание"
"1","02553207100601140","Ветроотбойник","А","1",""
"2","00772707100601160","Изогнутая пластинка  Ⅳ","B","1",""
"3","00772707100601120","Паровой рукав II","А","1",""
"4","00772707100601170","Планка I","А","1",""
"5","1040004518","Болт","А","2","JB/T5783-2000"
"6","1040004520","Болт","А","9","JB/T5783-2000"
"7","1040301515","Шайба","А","34","GB/T97.1-2002"
"8","00772707100601180","Планка  Ⅱ","А","1",""
"9","1040200503","Гайка","А","15","GB/T889.1-2000"
"10","00772707100601150","Гнутая пластина  Ⅲ","B","1",""
"11","1000300966","Вентилятор в сборе","А","1","WFCN20F00397"
"12","1000300963","Радиатор в сборе","А","1","4821.254.0000v1"
"13","1040301031","Шайба","B","8","GB/T96.1-2002"
"14","00771407100601170","Подкладка","А","6",""
"15","1040002262","Болт","B","4","JB/T5783-2000"
"16","1040200170","Гайка","А","4","JB/T889-1986"
"17","00772707100601041","Шланг II","А","1",""
"18","00772507100601021","Водовыпускная труба","А","1",""
"19","00771407120601080","Прокладка вентилятора","B","1",""
"20","00772707100601050","Шланг III","А","1",""
"21","00772707100601060","Резиновая труба IV","А","1",""
"22","1990202288","Хомут спирального червяка","А","8","SX12/W3/45-67"
"23","02553207100601210","Обратный водовод","А","1",""
"24","1040302489","Шайба","B","8","GB/T97.1-2002"
"25","1040004508","Болт","А","4","JB/T5783-2000"
"26","1040200504","Гайка","А","4","GB/T889.1-2000"
"27","1040002435","Болт","А","4","JB/T5783-2016"
"28","02553207100601081","Труба подпиточной воды","А","1",""
"29","00772707100601031","Шланг I","А","1",""
"30","00772507100601140","Гнутая пластина  Ⅱ","B","1",""
"31","1990202282","Хомут спирального червяка","А","2","SX9/W4/25-40"
"32","02553207100601150","Паровой шланг III","А","1",""
"33","02553207100601100","Паровой рукав I","А","1",""
"34","02553207110601010","Тройник","А","1",""
"35","1000300735","Расширительный бак","А","1","1311--01690"
