"№ 
п/п","Код материалов","Наименование и 
спецификация","Версия","Кол-
во","Примечание"
"1","1040006401","Болт","А","8","ANSIB18.3"
"2","1009901109","Пружинная муфта в сборе","А","1","812063--0"
"3","1000001564","Дизельный двигатель","А","1","QSF3.8@Stage@V"
"4","1040004519","Болт","А","4","JB/T5783-2000"
"5","1040301515","Шайба","А","4","GB/T97.1-2002"
"6","02553207110201010","Гнутая пластина  Ⅴ","А","1",""
"7","1040302490","Шайба","B","16","GB/T97.1-2002"
"8","1040005846","Болт","А","2","JB/T5783-2000"
"9","02553207100209910","Масляный фильтр","А","1",""
"10","00773407140201060","Шайба","B","4",""
"11","1040004644","Болт","А","2","JB/T5783-2000"
"12","00772707100201031","Гнутая пластина  Ⅲ","А","1",""
"13","00772707100201021","Гнутая пластина  Ⅱ","А","1",""
"14","02553207110210000","Кронштейн двигателя","C","1",""
"15","1009901073","Амортизатор двигателя","А","8","MDS95-45(10- 
04816)"
"16","1040200161","Гайка","А","4","JB/T889-1986"
"17","00772707100201010","Подкладка","А","4",""
"18","00772707100201061","Изогнутая пластинка  Ⅳ","А","1",""
"19","00772707100201051","Гнутая пластина I","А","1",""
"20","1040302492","Шайба","B","4","GB/T97.1-2002"
"21","1040004029","Болт","А","12","JB/T5783-2000"
"22","1040003912","Болт","А","4","JB/T5783-2000"
"23","00772707100201080","Крышка муфты","А","1",""
"24","1040002435","Болт","А","12","JB/T5783-2016"
"25","1040302489","Шайба","B","12","GB/T97.1-2002"
