"№ 
п/п","Код материалов","Наименование и 
спецификация","Версия","Кол-
во","Примечание"
"1","1010307493","Главный клапан","А","1","ST5456-AB00"
"2","1140101528","Прямой соединитель","А","1","GE20SR1EDOMDC 
F"
"3","1140101534","Прямоугольный композитный 
штуцер","А","1","EW20SOMDCF"
"4","1140101477","Прямоугольный композитный 
штуцер","А","1","EW12LOMDCF"
"5","1140103362","Прямой соединитель","А","1","GE28LREDOMDCF"
"6","1140102812","Прямой соединитель","А","4","GE18LREDOMDCF"
"7","1140101479","Прямоугольный композитный 
штуцер","А","2","EW18LOMDCF"
"8","1140111237","Прямой соединитель","А","3","GE08LREDOMDCF"
"9","1140101475","Прямоугольный композитный 
штуцер","А","2","EW08LOMDCF"
"10","1140101464","Прямой соединитель","А","3","GE15LREDOMDCF"
"11","1140101463","Прямой соединитель","А","4","GE12LR1/2EDOMD 
CF"
"12","1140114386","Прямой удлиненный 
соединитель","А","1","GE08LREDOMDCF- 
L80"
"13","1140101462","Прямой соединитель","А","1","GE12LREDOMDCF"
"14","1140101465","Прямой соединитель","А","1","GE15LR3/8EDOMD 
CF"
