"№ 
п/п","Код материалов","Наименование и 
спецификация","Версия","Кол-
во","Примечание"
"15","00771100110201011","Упорная планка","А","1",""
"16","00771100110230000","Установка защитного кожуха","D","1",""
"17","00771100110240000","Сварная деталь задней 
пластины","B","1",""
"18","00772700110210001","Свариваемые изделия 
платформы","А","1",""
"19","00773400100230000","Вращающаяся дверь","E","1",""
"20","00773600130201010","Отбойный упор","B","1",""
"21","00775600101801010","Личинка замка","А","1",""
"22","00775600101801020","Пружина","А","1",""
"23","1029904911","Пружинящая шайба","А","12","GB93-304"
"24","1040004522","Болт","А","1","JB/T5783-2000"
"25","1040004672","Болт","А","12","JB/T5783-2000"
"26","1040102017","Винт","А","8","GB/T70.1-2000"
"27","1040102372","Винт с цилиндрической головкой 
и внутренней шестигранью","А","6","GB/T70.1-2000"
"28","1040103173","Винт","А","2","GB/T70.1-2000"
"29","1040201880","Гайка","А","1","JB/T802-1988"
"30","1040201896","Гайка","А","16","GB/T889.1-2015"
"31","1040300514","Шайба","А","12","GB/T97.1-2002"
"32","1040300735","Шайба","А","12","GB/T96.1-2002"
"33","1040300771","Шайба","А","20","GB/T97.1-2002"
"34","1040301515","Шайба","А","2","GB/T97.1-2002"
"35","1101000163","Пружинная петля","А","2","D-10"
"36","1999904986","Коробка для файлов","А","1","ZJ1145029"
