"№ 
п/п","Код материалов","Наименование и 
спецификация","Версия","Кол-
во","Примечание"
"1","02552907130401050","Труба топлива II","А","1",""
"2","1990202279","Хомут спирального червяка","А","6","SX9/W4/12-20"
"3","1081000528","Сложная уплотнительная шайба","А","4","JB/T982-1977"
"4","00773407150401020","Пустотелый болт","А","2",""
"5","00773407150401030","Штуцер II","А","2",""
"6","02553207100401030","Топливный фильтр","А","1",""
"7","02553207100401070","Опора топливного фильтра","B","1",""
"8","1040004520","Болт","А","8","JB/T5783-2000"
"9","1040002436","Болт","А","4","JB/T5783-2000"
"10","1040302490","Шайба","B","4","GB/T97.1-2002"
"11","02553200800001021","Опора","B","1",""
"12","1040002434","Болт","А","4","JB/T5783-2016"
"13","1040200503","Гайка","А","4","GB/T889.1-2000"
"14","1040302480","Шайба","B","4","GB/T96.1-2002"
"15","1040302512","Шайба","А","4","GB/T96.1-2002"
"16","00771607110410000","Бак топлива в сборе","D","1",""
"17","1040005844","Болт","А","9","JB/T5783-2000"
"18","00773400800401150","Седло гайки","А","9",""
"19","02552907130401040","Труба топлива II","А","1",""
"20","1040300771","Шайба","А","9","GB/T97.1-2002"
"21","02552907130401060","Труба топлива III","А","1",""
"22","1040301515","Шайба","А","11","GB/T97.1-2002"
"23","1040202855","Гайка","А","11","GB/T889.1-2000"
"24","02553207100401080","Опора топливного фильтра II","B","1",""
"25","02553207100401020","Топливный фильтр","А","1",""
"26","1040102737","Винт","А","3","GB/T70.1-2000"
"27","1029902994","Бандажная лента","А","6","CHS-
4*200(черный)"
