"№ 
п/п","Код материалов","Наименование и 
спецификация","Версия","Кол-
во","Примечание"
"28","00772706200210030","Электрический шкаф 
управления платформой","B","1",""
"30","1020103903","Контроллер","B","1","RC28-14/30"
"31","1040102372","Винт с цилиндрической головкой 
и внутренней шестигранью","А","4","GB/T70.1-2000"
"32","1040300062","Шайба","B","4","JB/T93-1987"
"33","1040300051","Шайба","А","4","GB/T97.1-2002"
"34","1020700974","Упорная планка","А","2","249--116"
"35","1029904980","Соединительный зажим","А","6","2004--1301"
"36","1029904933","Упорная планка","А","3","2004--1392"
"37","1020520942","Торцевая пластина","А","1","2002--1691"
"38","1029905392","Соединительный зажим","А","4","2002--1681"
"39","1020605395","Предохранитель","А","3","297005"
"40","1020605394","Предохранитель","А","1","297010"
"41","1020704265","3-проводная клеммная колодка 
заземления","А","3","2004--1307"
"42","1020404405","Проблесковый зуммер","B","1","AD17- 
22SML/DC12VR"
"43","1029907643","Розетка","А","1","192900--0437"
"44","1022396084","Наконечник закрепления кабеля","А","1","HSK-M20B"
"45","1029906990","Штепсель ITT","А","1","192900--0074"
"46","1029805618","Розетка","А","1","T417111005-002"
