"№ 
п/п","Код материалов","Наименование и 
спецификация","Версия","Кол-
во","Примечание"
"48","00771400120420001","Сварная деталь кронштейна","D","1",""
"49","00772700100410001","Переходный держатель","C","1",""
"50","00773400100401040","Вкладыш","А","1",""
"51","00773400130400001","Датчик веса","А","1",""
"52","00773400130401040","Прокладка I","А","8",""
"53","00773400130401060","Прокладка III","C","2",""
"54","02564400100401010","Шатун","B","2",""
"55","02564400100401020","Вал","B","4",""
"56","02564400100401031","Пластина хомута","А","4",""
"57","1040004646","Болт","А","4","JB/T5783-2000"
"58","1040006458","Усиленный бол с полукруглой 
головкой квадратным 
диаметром","А","1","JB/T794-1993"
"59","1040007514","Болт","А","2","JB/T5782-2000"
"60","1040103112","Винт","А","7","GB/T70.1-2000"
"61","1040200503","Гайка","А","4","GB/T889.1-2000"
"62","1040201381","Гайка","А","1","JB/T6170-2000"
"63","1040301515","Шайба","А","3","GB/T97.1-2002"
"64","1040302490","Шайба","B","4","GB/T97.1-2002"
"65","1054600077","Игольчатый подшипник","А","8","JB/T5801-2006"
"66","1080000005","Масленка","А","8","JB/T7940.1-1995"
