"№ 
п/п","Код материалов","Наименование и 
спецификация","Версия","Кол-
во","Примечание"
"3","02552900300600002","Сварной элемент стрелы 
третьей секции","B","1",""
"70","1040302489","Шайба","B","38","GB/T97.1-2002"
"160","1040201882","Гайка","А","6","JB/T6172-2000"
"161","00772100301201120","Болт","C","6",""
"162","00772500301801030","Верхний ползун I","B","1",""
"163","00772700301201040","Регулировочная шайба","B","8",""
"164","1040300771","Шайба","А","16","GB/T97.1-2002"
"165","1040002555","Болт","А","16","JB/T5783-2000"
"166","1040302480","Шайба","B","2","GB/T96.1-2002"
"167","1040000135","Болт","А","2","JB/T5783-2000"
"168","00772700301201050","Регулировочная шайба","B","4",""
"169","00772500301801040","Верхний ползун III","B","1",""
"170","02552900301801010","Верхняя щеточная доска","А","1",""
"171","02552900301801020","Верхняя прижимная планка","А","1",""
"172","02552900301801041","Боковая щеточная доска","А","2",""
"173","02552900301801030","Боковая прижимная планка","А","2",""
"174","00772700301810000","Ползун","А","2",""
"175","00772700301601070","Регулировочная шайба","B","18",""
"176","1040004535","Болт","А","2","JB/T5782-2000"
"177","02552900301820000","Ползун","А","1",""
"178","00772500301801010","Регулировочная шайба","B","6",""
"179","1040006471","Болт","А","2","JB/T5782-2000"
