"№ 
п/п","Код материалов","Наименование и 
спецификация","Версия","Кол-
во","Примечание"
"21","1040302489","Шайба","B","27","GB/T97.1-2002"
"26","1040302490","Шайба","B","15","GB/T97.1-2002"
"41","1040200504","Гайка","А","8","GB/T889.1-2000"
"65","1040004644","Болт","А","4","JB/T5783-2000"
"205","1040103120","Винт","А","4","GB/T70.1-2000"
"206","02552900302201160","Желоб I стального троса","А","4",""
"207","02552900302201120","Плита L","B","2",""
"208","1040004028","Болт","А","4","JB/T5783-2016"
"209","02552900302220000","Опора шкива выдвигающей 
стрелы","B","1",""
"210","02552900302201080","Ползун","B","2",""
"211","1040302480","Шайба","B","4","GB/T96.1-2002"
"212","1040103112","Винт","А","4","GB/T70.1-2000"
"213","1040302512","Шайба","А","6","GB/T96.1-2002"
"214","00771900321001070","Направляющий ползун","А","1",""
"215","1040004554","Болт","А","3","JB/T5782-2000"
