"№ 
п/п","Код материалов","Наименование и 
спецификация","Версия","Кол-
во","Примечание"
"1","02552900200001020","Боковая прижимная планка","А","2",""
"2","02552900200001010","Боковая щеточная доска I","А","2",""
"3","02552900200001040","Нижняя прижимная планка","А","2",""
"4","02552900200001030","Нижняя щеточная доска","А","2",""
"5","00773400300001140","Регулировочная шайба  Ⅴ","B","14",""
"6","00773400300001121","Регулировочная шайба (1 мм))","А","2",""
"7","00773400300001131","Регулировочная шайба (2 мм)","А","20",""
"8","00773700303000000","Узлы ползуна","А","12",""
"9","1040002433","Болт","А","4","JB/T5783-2000"
"10","1040302489","Шайба","B","76","GB/T97.1-2002"
"11","1040002434","Болт","А","33","JB/T5783-2016"
"12","1040301515","Шайба","А","26","GB/T97.1-2002"
"13","1040103110","Винт","А","12","GB/T70.1-2000"
"14","1040004590","Болт","А","2","JB/T5783-2000"
"15","1040004517","Болт","А","8","JB/T5783-2000"
"16","1040002555","Болт","А","8","JB/T5783-2000"
"17","1040300771","Шайба","А","8","GB/T97.1-2002"
"18","00772700200001190","Защитный кожух датчика II","B","1",""
"19","00771400211200000","Подвижный трубный хомут","B","1",""
"20","02552900200001180","Панель заглушки","А","1",""
"21","00772700200001170","Монтажная пластина 
бесконтактного переключателя","А","1",""
"22","00773400300001101","Регулировочная шайба (3 мм))","А","4",""
"23","00773400312600000","Узлы ползуна","B","4",""
"24","02552900200200000","Сварной элемент консоли 
первой секции","B","1",""
