"Item","Part No.","Description","Qty."
"1","00002274","5/8-18UNF  Nut","18"
"2","10011165","Wheel","2"
"3","10011237","Drive motor assembly","2"
"--","00006312","Reducer","1"
"--","10011238","Motor","1"
"--","00006313","Brake","1"
"4","00000679","Washer  GB/T 93  10","2"
"5","00002249","Screw  GB/T 70.1  M10×20","2"
"6","10014413","Steer yoke weldment","1"
"7","10023582","Motor cover 1","1"
"8","00002575","Nut  GB/T 6183.1  M8","16"
"9","10023585","Cover","2"
"10","00000818","Bolt  GB/T 5783  M6×16","4"
"11","00000621","Washer  GB/T 93  6","4"
"12","00000620","Washer  GB/T 97.1  6","4"
"13","10023587","Motor cover 2","1"
"14","10014411","Steer yoke weldment","1"
"15","00000608","Washer  GB/T 97.1  8","16"
"16","00002488","Bolt  GB/T 5783  M8×35","16"
"17","00000997","Washer  GB/T 97.1  16","16"
"18","00001035","Washer  GB/T 93  16","16"
"19","00003699","5/8-11×2""  Bolt  ANSI B18.2.1","16"
"20","00003614","8813-303625  Bearing","2"
"21","10014421","Washer","3"
"22","00002046","Bolt  GB/T 5783  M12×35","2"
"23","00000815","Washer  GB/T 93  12","3"
"24","00002601","Washer  GB/T 96.1  12","2"
"25","10014422","Washer","2"
"26","00000816","Bolt  GB/T 5783  M12×25","1"
