"Item","Part No.","Description","Qty."
"1","10000537","Half-round batten","2"
"2","00001013","Screw  GB/T 973  M5×20","4"
"3","00002573","Nut  GB/T 6183.1  M5","4"
"4","00001011","Screw  GB/T 973  M5×12","4"
"5","00006067","Charger","1"
"6","00001060","Screw  GB/T 818  M6×12 - H","2"
"7","00000621","Washer  GB/T 93  6","12"
"8","00000620","Washer  GB/T 97.1  6","15"
"9","00005407","DC Contactor","1"
"10","00000641","Motor controller (ZAPI)","2"
"","00014123","Motor controller (SZ)","2"
"11","00001034","Screw  GB/T 70.1  M6×25","8"
"12","50000099","Copper bar 3","2"
"13","00001031","350A  Fuse assembly","2"
"--","00000758","350A  Fuse","1"
"--","00000757","Fuse seat","1"
"14","00001003","Screw  GB/T 973  M4×12","8"
"15","00000757","Fuse seat","1"
"16","00001033","Nut  GB/T 6182  M6","3"
"17","00000832","Screw  GB/T 70.3  M6×25","3"
"18","","Beacon assembly (refer to 106.1)","1"
"19","10013774","Battery unit","1"
"20","","Power connector assembly (refer to 107.1)","1"
"21","00002873","Bolt  QC/T 340  M10×20","4"
"22","00000995","Bolt  GB/T 5783  M8×30","4"
"23","00000608","Washer  GB/T 97.1  8","24"
"24","00002575","Nut  GB/T 6183.1  M8","4"
"25","10011235","Locating plate","1"
"26","00002555","Screw  GB/T 70.1  M8×25","4"
