"Item","Part No.","Description","Qty."
"1","10011416","Right main rail","1"
"2","10011434","Limit plate","1"
"3","00000608","Washer  GB/T 97.1  8","14"
"4","00000609","Washer  GB/T 93  8","36"
"5","00001063","Bolt  GB/T 5783  M8×16","4"
"6","10004174","Inserted pin","8"
"7","10000376","Bumper","2"
"8","00001011","Screw  GB/T 973  M5×12","2"
"9","00001249","Nut  GB/T 6182  M12","8"
"10","00000814","Washer  GB/T 97.1  12","16"
"11","00004028","Bolt  GB/T 5782  M12×70","8"
"12","10014045","Pin","4"
"13","00002555","Screw  GB/T 70.1  M8×25","32"
"14","00005165","Screw  GB/T 79  M10×20","8"
"15","00000944","Washer  GB/T 894.1-40","4"
"16","10011328","Roller","4"
"17","10006579","Washer","4"
"18","10006578","Block","4"
"19","00001996","Rivet  GB/T 12618.4  4.8×12","66"
"20","10011433","Main platform deck plate","1"
"21","00001823","Clip 24","2"
"22","00004385","Screw  GB/T 823  M4×8","2"
"23","10011392","Main deck weldment","1"
"24","10011410","Left main rail","1"
"25","10014463","Circuit breaker bracket","1"
"26","00002268","Bolt  GB/T 5783  M5×20","4"
"27","00000605","Washer  GB/T 97.1  5","8"
"28","00000613","Nut  GB/T 6182  M5","4"
"29","10024234","Hole plug","1"
