"Item","Part No.","Description","Qty."
"1","00007096","Ground control box harness","1"
"2","00007097","CT1 harness","1"
"3","00007098","CT2 harness","1"
"4","00007099","CT3 harness","1"
"5","00007228","Battery harness","1"
"6","00007105","Battery positive harness 1","1"
"7","00007106","Battery positive harness 2","1"
"8","00007227","Battery negative harness 2","1"
"9","00007226","Battery negative harness 1","1"
"10","00007108","Fuse harness 1","1"
"11","00007107","DC Contactor harness","1"
"12","00007109","Fuse harness 2","1"
"13","00007222","Motor controller harness 1","1"
"14","00007223","Motor controller harness 2","1"
"15","00007224","Motor controller harness 3","1"
"16","00007225","Motor controller harness 4","1"
"17","00007101","Drive motor harness 2","1"
"18","00007100","Drive motor harness 1","1"
"19","00007103","Drive motor harness 4","1"
"20","00007102","Drive motor harness 3","1"
"21","00007104","Rear function harness","1"
