"Item","Part No.","Description","Qty."
"1","10009256","Outer arm 6, right","1"
"2","10017467","Outer arm 5","1"
"3","10009223","Inner arm 6","1"
"4","10017462","Outer arm 4, right","1"
"5","10017469","Inner arm 5","1"
"6","10017458","Outer arm 3","1"
"7","10017465","Inner arm 4","1"
"8","10009283","Outer arm 2, right","1"
"9","10017460","Inner arm 3","1"
"10","10019162","Outer arm 1, right","1"
"11","10009212","Inner arm 2","1"
"12","10019160","Inner arm 1","1"
"13","10025003","Outer arm 1, left","1"
"14","10025010","Outer arm 2, left","1"
"15","10019164","Outer arm 3, left","1"
"16","10019167","Outer arm 4, left","1"
"17","10019165","Outer arm 5, left","1"
"18","10019166","Outer arm 6, left","1"
