"Item","Part No.","Description","Qty."
"27","00000609","Washer  GB/T 93  8","16"
"28","00005371","Charger","1"
"","00009651","Charger (lithium battery)","1"
"29","00000610","Nut  GB/T 6170  M8","4"
"30","00000993","Bolt  GB/T 5783  M8×25","4"
"31","","Ground control box assembly (refer to 108.1)","1"
"32","10011480","Control box bracket","1"
"33","00000875","Bolt  GB/T 5783  M8×20","4"
"34","10011234","Locating plate","1"
"35","00002200","Battery","1"
"36","10011211","Press plate","1"
"37","00000774","Screw  GB/T 70.1  M6×20","2"
"38","10013703","Cover","1"
"39","00001063","Bolt  GB/T 5783  M8×16","4"
"40","00001246","Screw  GB/T 70.1  M5×16","4"
"41","00000606","Washer  GB/T 93  5","4"
"42","00000605","Washer  GB/T 97.1  5","4"
"43","00003962","Tilt sensor","1"
"44","10003942","Tilt sensor cover","1"
"45","00005080","Water-proof joint  M20","1"
"46","00000652","Charger display","1"
