"Item","Part No.","Description","Qty."
"1","00001873","Level gauge","1"
"2","10025585","Hydraulic tank weldment","1"
"3","00000520","Air cleaner","1"
"4","00000606","Washer  GB/T 93  5","10"
"5","00001246","Screw  GB/T 70.1  M5×16","8"
"6","00000605","Washer  GB/T 97.1  5","6"
"7","00002246","Bolt  GB/T 5783  M5×12","2"
"8","10013558","Keeper bar","1"
"9","10011071","Cover weldment","1"
"10","00004412","O-ring  GB/T 3452.1-272×5.3","1"
"11","00000619","Bolt  GB/T 5783  M6×25","24"
"12","00000621","Washer  GB/T 93  6","28"
"13","00000620","Washer  GB/T 97.1  6","28"
"14","10017869","Pipe","1"
"15","00002071","Straight fitting","5"
"16","00003113","Return filter","1"
"--","00004416","Filter element","1"
"17","00001074","Plug  VSTI16×1.5ED","2"
"18","00001501","Straight fitting","1"
"19","00011615","Hydraulic power unit","1"
"--","00004726","Pump","1"
"--","00004729","Motor","1"
"--","00004730","DC Contactor","1"
"--","00004724","Check valve","1"
"--","00004725","Relief valve","1"
"--","00005007","Filter web","1"
"--","00011614","Temperature switch","1"
"20","00001837","Elbow","2"
"21","50001437","Flange","2"
