"Item","Part No.","Description","Qty."
"1","10025635","Cover","1"
"2","00000678","Bolt  GB/T 5783  M10×25","6"
"3","00000679","Washer  GB/T 93  10","8"
"4","00000615","Washer  GB/T 97.1  10","6"
"5","50001592","Clamp","2"
"6","10003008","Hose","1"
"7","00010792","Cooler","1"
"8","10025634","Cover","1"
"9","00002560","Screw  GB/T 70.1  M8×30","2"
"10","00000608","Washer  GB/T 97.1  8","8"
"11","10001220","Bottle fixing plate","1"
"12","10015262","Coolant recovery bottle","1"
"13","10001218","Bottle bracket","1"
"14","00000993","Bolt  GB/T 5783  M8×25","2"
"15","00001163","Nut  GB/T 6182  M8","4"
"16","00000603","Bolt  GB/T 5782  M10×55","2"
"17","00001028","Washer  GB/T 96.1  10","4"
"18","10025605","Cooler bracket","1"
"19","00002251","Bumper","3"
"20","00000623","Nut  GB/T 6182  M10","1"
"21","10025677","Support","1"
"22","10025678","Bracket weldment","1"
"23","00002512","Bolt  GB/T 5782  M10×70","1"
