"Item","Part No.","Description","Qty."
"1","10025803","Hose","1"
"2","50001583","Clamp","3"
"3","10002724","Hose","1"
"4","10024929","Washer","1"
"5","10015432","Air cleaner bracket (To SN JPR0024C00284)","1"
"5.B","10026144","Air cleaner bracket (Form SN JPR0024C00285)","1"
"6","00002024","3/8-16×1 3/8"" Hex bolt ANSI B18.2.1","2"
"7","00005181","Washer  ANSI B18.21.1  3/8","2"
"8","00005182","Washer  ANSI B18.22.1  narrow  3/8","2"
"9","00000620","Washer  GB/T 97.1  6","8"
"10","00000621","Washer  GB/T 93  6","4"
"11","00000743","Bolt  GB/T 5783  M6×20","4"
"12","10024933","Bracket","1"
"13","10026123","Muffler","1"
"14","00002247","Nut  GB/T 6170  M6","4"
"15","00001028","Washer  GB/T 96.1  10","4"
"16","00000679","Washer  GB/T 93  10","4"
"17","00000678","Bolt  GB/T 5783  M10×25","4"
"18","00000608","Washer  GB/T 97.1  8","11"
"19","00000609","Washer  GB/T 93  8","5"
"20","00000995","Bolt  GB/T 5783  M8×30","6"
"21","00001163","Nut  GB/T 6182  M8","4"
"22","00000993","Bolt  GB/T 5783  M8×25","1"
"23","00002000","Washer  GB/T 96.1  8","2"
"24","00002488","Bolt  GB/T 5783  M8×35","2"
"25","10002800","Air cleaner","1"
"--","10002943","Filter element (outer)","1"
"--","10009453","Filter element (inner)","1"
