"Item","Part No.","Description","Qty."
"30","00001504","Straight fitting","1"
"31","00001266","Straight fitting","1"
"32","00001294","Straight fitting (JCPT1823RTL)","7"
"","00001294","Straight fitting (JCPT1523RTL)","5"
"33","00002069","Straight fitting","2"
"34","00001272","Straight fitting","1"
"35","00001282","Straight fitting","4"
"36","00001262","Straight fitting","6"
"37","00001290","Straight fitting","2"
"38","00010483","Flange adapter","1"
"39","00010484","Flange adapter","1"
"40","00001270","Straight fitting","1"
"41","00001264","Straight fitting","2"
"42","00007172","Straight fitting","2"
"43","00001842","Elbow","2"
"44","00001837","Elbow","4"
"45","00001835","Elbow","5"
"46","00001834","Elbow (JCPT1823RTL)","9"
"","00001834","Elbow (JCPT1523RTL)","5"
"47","00001239","Tee fitting (JCPT1823RTL)","2"
"48","00002119","Tee fitting","2"
"49","00004979","Tee fitting","1"
"50","00002136","Straight fitting","2"
"51","00002137","Straight fitting","2"
"52","90003624","Flange","2"
"53","00008672","Flange","2"
"54","00001074","Plug  VSTI16×1.5ED","2"
"55","00001073","Plug  VSTI14×1.5ED","3"
