"Item","Part No.","Description","Qty."
"1","00002071","Straight fitting","1"
"2","00001264","Straight fitting","2"
"3","00001835","Elbow","1"
"4","00001270","Straight fitting","1"
"5","00002248","Bolt  GB/T 5783  M14×35","2"
"6","93300873","Washer","2"
"7","00001282","Straight fitting","1"
"8","00010226","Piston pump","1"
"9","00008672","Flange","2"
"10","00000814","Washer  GB/T 97.1  12","8"
"11","00000815","Washer  GB/T 93  12","8"
"12","00002046","Bolt  GB/T 5783  M12×35","8"
"13","00010484","Flange adapter","1"
"14","00001842","Elbow","2"
"15","00010483","Flange adapter","1"
