"Item","Part No.","Description","Qty."
"1","00010496","Ground control box harness","1"
"2","00010501","CT4 harness","1"
"3","00010499","CT3 harness","1"
"4","00010696","CT2 harness","1"
"5","00010497","CT1 harness","1"
"6","00010797","Rear Outrigger harness","1"
"7","00010846","Engine negative harness","1"
"8","00010503","Start motor harness","1"
"9","00010800","Emergency pump negative harness","1"
"10","00010799","Emergency pump positive harness","1"
"11","00010798","Emergency pump fuse harness","1"
"12","00010502","Battery positive harness","1"
"13","00007323","Lowering valve harness (JCPT1523RTL)","1"
"","00007324","Lowering valve harness (JCPT1823RTL)","1"
"14","00007965","Pressure sensor harness","1"
