"№ п/п","Код мат-ла","Наименование и спецификация","Кол-во
штук","Примечание"
"2","00773407000201070","Знак «Опасность поражения
электрическим током»","6",""
"4","00773407000201090","Знак «Опасность опрокидывания,
столкновения»","1",""
"9","00773407000201190","Знак «Опасность придавливания»","2",""
"10","00773407000201200","Знак «Запрещается поддерживать
руками или крепить троса»","3",""
"11","00773407000201210","Знак «Опасность защемления»","3",""
"13","00773407000201230","Знак «Отказ педали»","1",""
"16","00773407000201260","Знак «Меры предосторожности
при использовании»","2",""
"17","00773407000201270","Знак «Запрещается промывать
высоконапорной водой»","3",""
"19","00773407000201320","Знак «Опасность столкновения»","2",""
"23","00773407000201390","Знак «Хранение руководства по
эксплуатации»","1",""
"25","00773407000201410","Знак «Точка крепления
страховочного троса»","6",""
"29","00773407000201450","Знак «Предэксплуатационная
проверка»","2",""
"31","00771407000201010","Опасность опрокидывания, знак
сигнализации наклона","1",""
"32","00771107000201060","Знак нагрузки колеса","4",""
"33","00771107000201020","Знак «Опасность опрокидывания»","4",""
"34","00771107000201050","Номинальное значение уклона","1",""
"35","00771107000201010","Знак схемы безопасного рабочего
диапазона","2",""
"36","00771407000201070","Знак инструкции управления
пультом управления рабочей
платформы","1",""
"44","00773407000201010","LOGO ЗУМЛИОН платформы","1",""
"51","00773407000201050","ЗУМЛИОН противовеса","1",""
