"№ п/п","Код мат-ла","Наименование и
спецификация","Кол-во
штук","Примечание"
"1","00773406200210000","Электрический шкаф
управления платформой в
сборе","1",""
"2","1040200503","Шестиугольная
контргайка с
неметаллической вставкой
типа 1 M8-8","4","GB/T 889.1-2000"
"3","1040301515","Плоская шайба класса А
8-200HV","4","GB/T 97.1-2002"
"4","1040004519","Нарезной болт с
шестигранной головкой
M8×25-8.8","4","GB/T 5783-2000"
"5","00771600100200000","Узел платформы","1",""
"6","1040102372","Болт с цилиндрической
головкой и внутренним
шестигранником
M6×20-A2-70","8","GB/T 70.1-2000"
"7","1020521022","Педальный
переключатель","1",""
"8","00771400100201020","Самодельная шайба","4",""
"9","1040201865","Шестигранная гайка типа
1 M6-A2-70","8","GB/T 6170-2000"
"10","00771400100401080","Самодельный болт","1",""
"11","1040004653","Нарезной болт с
шестигранной головкой
M12×30-10.9","18","GB/T 5783-2000"
"12","1040302490","Плоская шайба класса А
12-200HV","18","GB/T 97.1-2002"
