"№ п/п","Код мат-ла","Наименование и
спецификация","Кол-во
штук","Примечание"
"1","00771107120801010","Впускная стальная труба","1",""
"2","1040004507","Болт M10×40-8.8","2","GB/T5783-2000"
"3","1040302489","Шайба 10-200HV","2","GB/T97.1-2002"
"4","00771107120801040","Опорная плита Ⅰ","1",""
"5","1040200504","Гайка M10-8","2","GB/T889.1-2000"
"6","00771107120801060","Односторонний трубный зажим","1",""
"7","1040004518","Болт M8×20-8.8","1","GB/T5783-2000"
"8","00771107120801020","Впускной шланг Ⅱ","1",""
"9","1990202288","Хомут спирального червяка и
червячного колеса","3",""
"10","1040004520","Болт M8×30-8.8","3","GB/T5783-2000"
"11","1040301515","Шайба 8-200HV","10","GB/T97.1-2002"
"12","00771107121001060","Двухсторонний трубный зажим","1",""
"13","00771107120801070","Соединительная пластина","1",""
"14","00771107120801050","Опорная плита Ⅱ","1",""
"15","1040004517","Болт M8×16-8.8","2","GB/T5783-2000"
"16","00771107120801030","Впускной шланг Ⅰ","1",""
"17","1000100391","Агрегат воздушного фильтра","1",""
"18","1990202290","Хомут спирального червяка и
червячного колеса","2",""
"19","00771407100801010","Впускная труба Ⅰ","1",""
"20","1040004619","Болт M8×35-8.8","2","GB/T5783-2000"
"21","1040200503","Гайка M8-8","6","GB/T889.1-2000"
