"№ п/п","Код мат-ла","Наименование и
спецификация","Кол-во
штук","Примечание"
"1","00771100310200000","Сварная конструкция 1-й
секции стрелы","1",""
"2","00771100310600000","Сварная конструкция 3-й
секции стрелы","1",""
"3","00771100300801090","Штифт I","2",""
"4","00771100300801060","Конец каната","2",""
"5","00771100300850000","Перегородка Сварная
конструкция","1",""
"6","1040300771","Шайба 6-200HV","2","GB/T97.1-2002"
"7","1040004517","Болт M8×16-8.8","2","GB/T5783-2000"
"8","00771100300860000","Сварная конструкция
кронштейна","1",""
"9","00771100300801100","Штифт II","1",""
"10","1040200741","Гайка M20- 10","2","GB/T889.1-2000"
"11","1040201484","Гайка M20- 10","2","GB/T6170-2000"
"12","1040302493","Шайба 20-200HV","2","GB/T97.1-2002"
"13","00771100300801080","Качающаяся опора","1",""
"14","1040004518","Болт M8×20-8.8","2","GB/T5783-2000"
"15","1040301515","Шайба 8-200HV","13","GB/T97.1-2002"
"16","00771100300801040","Пластина защиты от вращения","1",""
"17","00771100300801020","Стальной канат выдвижения
стрелы","2",""
"18","1040500394","Разводной штифт 5×40","3","GB/T91-2000"
"19","1040000135","Болт M8×55-8.8","6","GB/T5783-2000"
"20","1040004519","Болт M8×25-8.8","5","GB/T5783-2000"
"21","00771100301601020","Прижимная планка","1",""
"22","00771100301601010","Неподвижная опора","1",""
"23","00771100300801050","Кожух шкива, правый","1",""
"24","00771100300801070","Кожух шкива, левый","1",""
"25","00771100300870000","Штифт шкива втягивания
стрелы","2",""
"26","00771400300801010","Не требующий смазки
подшипник Ⅰ","2",""
