"№ п/п","Код мат-ла","Наименование и
спецификация","Кол-во
штук","Примечание"
"1","00771100310000000","Стрела","1",""
"2","00771100700200000","Тягово-сцепной механизм","1",""
"3","00771100700600000","Средний кронштейн","1",""
"4","00771400700001010","Шайба","8",""
"5","00771100700400000","Монтажный кронштейн Ⅰ","1",""
"6","00771400700600000","Поворотный кронштейн","2",""
"7","00771100700001020","Направляющий лист","1",""
"8","1040500047","Штифт 5×70","4","GB/T 91-2000"
"9","1040004565","Болт M10×30-8.8","4","GB/T 5783-2000"
"10","1040301502","Шайба 10-200HV","7","GB/T 93-1987"
"11","1040302489","Шайба 10-200HV","10","GB/T 97.1-2002"
"12","1040004507","Болт M10×40-8.8","3","GB/T 5783-2000"
"13","1040200113","Гайка M10-8","3","GB/T 6170-2000"
"14","1040102648","Винт M8×25-A2-70","8","GB/T 70.2-2000"
"15","1040301515","Шайба 8-200HV","24","GB/T 97.1-2002"
"16","1040103059","Винт M8×35","8","GB/T 70.2-2000"
"17","1040200503","Гайка M8-8","8","GB/T889.1-2000"
"18","1040001640","Болт M6×25-A2-70","16","GB/T 5783-2000"
"19","1040300771","Шайба 6-200HV","32","GB/T 97.1-2002"
"20","1040301610","Шайба
6","16","GB/T 93-1987"
"21","1040201865","Гайка
M6-8","16","GB/T 6170-2000"
