"№ п/п","Код мат-ла","Наименование и
спецификация","Кол-во
штук","Примечание"
"1","1000400491","Топливный бак в сборе","1",""
"2","1000400478","Водо-масляный сепаратор","1",""
"3","1040301515","Шайба 8-200HV","4","GB/T97.1-2002"
"4","1040002458","Болт M8×40-8.8","2","GB/T5783-2000"
"5","1081000673","Комбин. уплот. шайба","4","JB/T982-1977"
"6","00773407100401050","Штуцер II","2",""
"7","00773407100401060","Пустотелый болт","2","M16×1.5×35"
"8","00771407100401010","Изогнутая пластина Ⅰ","1",""
"9","00771107110401020","Топливная труба II","1",""
"10","1040200503","Гайка M8-8","2","GB/T889.1-2000"
"11","1040004518","Болт M8×20-8.8","2","GB/T5783-2000"
"12","00771107110401030","Топливная труба III","1",""
"13","1990202279","Хомут червяка и червячного
колеса","6",""
"14","1990200692","Клейкая лента, покрытая слоем
пластмассы","3",""
"15","1040300771","Шайба 6-200HV","3","GB/T97.1-2002"
"16","1040005844","Болт M6×10-A2-70","3","GB/T5783-2000"
"17","00771107110401010","Топливная труба I","1",""
