"№ п/п","Код мат-ла","Наименование и
спецификация","Кол-во
штук","Примечание"
"1","00771101103201010","Панель","1",""
"2","199905631","Петля","1",""
"3","1109800044","Замок с язычком","2",""
"4","1040301515","Шайба 8-200HV","121","GB/T97.1-2002"
"5","1040201089","Гайка M8-8","5","GB/T6170-2000"
"6","1101000152","Петля","1",""
"7","00771101103001010","Дверное полотно","1",""
"8","1040201772","Гайка M4-A2-70","8","GB/T6170-2000"
"9","1040302410","Шайба 4-200HV","8","GB/T97.1-2002"
"10","1040103120","Винт M4×20-A2-70","8","GB/T70.1-2008"
"11","1040103122","Винт M8×16-4.8","5","GB/T818-2000"
"12","00771101100800000","Сварка правого
заднего капота","1",""
"13","00771101100600000","Сварка левого заднего
капота","1",""
"14","00771101100400000","Сварка левого
переднего капота","1",""
"15","00771101100200000","Сварка правого
переднего капота","1",""
"16","00771101101200000","Кронштейн левого
заднего капота","1",""
"17","00771101100001010","Правая
уплотнительная
пластина I","1",""
"18","00771101100001110","Левая уплотнительная
пластина I","1",""
"19","00771101100001100","Правая
уплотнительная
пластина II","1",""
"20","00771101100001030","Левая уплотнительная
пластина II","1",""
"21","00771101100001080","Монтажная панель
сердцевины замка","1",""
"22","1109900765","Дверной замок","3",""
"23","1100700163","Дверная ручка","4",""
"24","00771101100001050","Монтажная панель
сердцевины замка","2",""
"25","1040302512","Шайба 10-200HV","22","GB/T96.1-2002"
