"№ п/п","Код мат-ла","Наименование и
спецификация","Кол-во
штук","Примечание"
"1","1040004517","Болт M8×16-8.8","2","GB/T5783-2000"
"2","1040002434","Болт M10×25-8.8","6","GB/T5783-2000"
"3","1040302489","Шайба 10-200HV","6","GB/T97.1-2002"
"4","1040102037","Винт M8×70-10.9-DKL","2","GB/T70.1-2000"
"5","1040200504","Гайка M10-8","6","GB/T889.1-2000"
"6","00771107121010000","Кронштейн глушителя","1",""
"7","00771107121001020","Чехол для подушки","1",""
"8","00771107121001030","Длинный чехол для подушки","1",""
"9","00771107121001050","Теплоизоляционная плита","1",""
"10","00771107121001010","Выхлопной патрубок","1",""
"11","00771107121001060","Двухсторонний трубный зажим","1",""
"12","1040004518","Болт M8×20-8.8","6","GB/T5783-2000"
"13","1040200503","Гайка M8-8","14","GB/T889.1-2000"
"14","00771407101001020","Воздуховыпускной труба-хвост","1",""
"15","00771407101001030","Усилительная планка","1",""
"16","00771107121001040","Выхлопная труба","1",""
"17","1040004519","Болт M8×25-8.8","12","GB/T5783-2000"
"18","1040301515","Шайба 8-200HV","22","GB/T97.1-2002"
"19","00771407121001050","Уплотнительная прокладка I","3",""
"20","00771407121001010","Глушитель","1",""
