"№ п/п","Код мат-ла","Наименование и
спецификация","Кол-во
штук","Примечание"
"1","1030202175","Редуктор","4",""
"2","00771102810800000","Поворотная цапфа","2",""
"3","1040004507","Болт M10×40-8.8","2","GB/T5783-2000"
"4","00773400300001200","Стопорный штифт","4",""
"5","00771102800001010","Штифт","2",""
"6","00771102810001230","Не требующий смазки
подшипник","2",""
"7","00771102810001030","Износостойкая пластина","2",""
"8","00771102810001020","Штифт","4",""
"9","00771102810001260","Перекрывающая пластина
главного штифта","4",""
"10","1040302490","Шайба 12-200HV","16","GB/T97.1-2002"
"11","1040102042","Винт M12×20-10.9","16","GB/T70.1-2000"
"12","00771102810001210","Упор передней оси","2",""
"13","00771102800001070","Штифт","2",""
"14","1040004565","Болт M10×30-8.8","2","GB/T5783-2016"
"15","1040101643","Винт M6×30-A2-70","4","GB/T70.1-2000"
"16","00771102810400000","Сварная конструкция передней
оси","1",""
"17","00771102811000000","Гидроцилиндр рулевого
управления","2",""
"18","00771102810001190","Не требующий смазки
подшипник","2",""
"19","00771102810001170","Не требующий смазки
подшипник","2",""
"20","00771102811200000","Сварная конструкция рулевого
привода","1",""
"21","00771102810001180","Не требующий смазки
подшипник","2",""
"22","00771102810001150","Штифт","2",""
"23","00771102810001240","Не требующий смазки
подшипник","2",""
