"№ п/п","Код мат-ла","Наименование и
спецификация","Кол-во
штук","Примечание"
"1","1040004590","Нарезной болт с шестигранной
головкой
M8×14-8.8","6","GB/T 5783-2000"
"2","1040301515","Плоская шайба класса А
8-200HV","10","GB/T 97.1-2002"
"3","00771400211200000","Регулируемый трубный зажим","3",""
"4","00771100210200000","Верхний шатун","1",""
"5","00771400200001130","Не требующий смазки
подшипник","2",""
"6","00771100200600000","Опора","1",""
"7","00771100210001010","Палец верхнего шатуна","2",""
"8","00773400200001070","Стопорный штифт","2",""
"9","1040002437","Нарезной болт с шестигранной
головкой
M12×35-8.8","2","GB/T 5783-2000"
"10","1040004520","Нарезной болт с шестигранной
головкой
M8×30-8.8","4","GB/T 5783-2000"
"11","00771100210001100","Щиток трубы","1",""
"12","00771100210001090","Трубная муфта","2",""
"13","00771100210400000","Нижний шатун","2",""
"14","00771100200001080","Не требующий смазки
подшипник","2",""
"15","00771100200600000","Гидроцилиндр изменения
вылета консоли","1",""
"16","00771100210001040","Не требующий смазки
подшипник","2",""
