"№ п/п","Код мат-ла","Наименование и
спецификация","Кол-во
штук","Примечание"
"1","00771400301240000","Сухарь","5",""
"2","00771400301401030","Регулировочная прокладка","4",""
"3","00771400301401020","Регулировочная прокладка","2",""
"4","00771400301401010","Регулировочная прокладка","2",""
"5","1040302489","Шайба 10-200HV","40","GB/T97.1-2002"
"6","1040002434","Болт M10×25-8.8","8","GB/T5783-2000"
"7","1040004507","Болт M10×40-8.8","4","GB/T5783-2000"
"8","1040002433","Болт M10×20-8.8","4","GB/T5783-2000"
"9","00773400300001140","Регулировочная прокладка V","12",""
"10","00773400300001150","Регулировочная прокладка Ⅵ","20",""
"11","00771100301250000","Сухарь","8",""
"12","1040002435","Болт M10×35-8.8","10","GB/T5783-2000"
"13","00771100301401040","Вкладыш","1",""
"14","00771100301420000","Верхняя противопылевая
щетка","1",""
"15","00771100301430000","Боковая противопылевая щетка","2",""
"16","00771100301410000","Нижняя противопылевая щетка","1",""
"17","00771100300400000","Сварная конструкция 2-й
секции стрелы","1",""
"18","00771100301401020","Спусковая тяга","1",""
"19","00773400300001130","Регулировочная прокладка IV","2",""
"20","00771400301250000","Сухарь","2",""
"21","00771100301401010","Спусковая тяга","1",""
"22","1040004565","Болт M10×30-8.8","4","GB/T5783-2016"
"23","00771400301401040","Регулировочная прокладка","4",""
"24","00771100301401030","Вкладыш","2",""
