"№ п/п","Код мат-ла","Наименование и
спецификация","Кол-во
штук","Примечание"
"21","1040102738","Винт M8×55-8.8","7","GB/T 70.1-2000"
"22","1040102648","Винт M8×25-A2-70","16","GB/T 70.2-2000"
"23","1040103059","Винт M8×35-A2-70","8","GB/T 70.2-2000"
"24","1040004565","Болт M10×30-8.8","4","GB/T 5783-2000"
"25","1040301502","Шайба 10","6","GB/T 93-1987"
"26","1040302489","Шайба 10 -200HV","10","GB/T 97.1-2002"
"27","1040004507","Болт M10×40-8.8","2","GB/T 5783-2000"
"28","1040200113","Гайка M10-8","2","GB/T 6170-2000"
"29","1040200504","Гайка M10-8","2","GB/T 889.1-2000"
"30","1040103124","Винт M10×170-8.8","2","GB/T 70.1-2000"
"31","1040100105","Винт M6×25-A2-70","10","GB/T 70.1-2000"
"32","1040300771","Шайба
6","36","GB/T 97.1-2002"
"33","1040201896","Гайка
M6-8","18","GB/T 889.1-2015"
