"№ п/п","Код мат-ла","Наименование и
спецификация","Кол-во
штук","Примечание"
"34","00771100800401020","Кронштейн главного
клапана II","1",""
"35","00771100800401040","Кронштейн аккумулятора II","1",""
"37","1040002437","Болт M12×35-8.8","4","GB/T5783-2000"
"38","00771100800401050","Монтажный стержень
аккумулятора","2",""
"39","00771100800401030","Кронштейн аккумулятора I","1",""
"40","00771100800401010","Кронштейн главного
клапана I","1",""
"41","1040302480","Шайба 8-200HV","6","GB/T96.1-2002"
"42","00771100802000000","Водонепроницаемый кожух
ECU","1",""
"43","1040103120","Винт M10×60-8.8","2","GB/T70.1-2000"
"44","1040002434","Болт M10×25-8.8","3","GB/T5783-2000"
"45","00771100800001020","Буферный блок поддона","1",""
"46","00773400300001200","Стопорный штифт","1",""
"47","00771100800001110","Вал поддона","1",""
"48","1040301031","Шайба 12-300HV","2","GB/T96.1-2002"
"49","00773400800001010","Подшип.","2",""
"50","00771100800001140","Прокладка поддона II","1",""
"51","00771100800001130","Прокладка поддона I","1",""
"52","1040004608","Болт M12×45-8.8","1","GB/T5782-2000"
"53","00773400801400000","Штепсель поддона","1",""
"54","00771100801600000","Кронштейн двигателя","1",""
"55","00773400800001150","Накладка колодки","1",""
"56","1040201882","Гайка M16- 10,9","1","GB/T6172-2000"
"57","1040004615","Болт M16×110-10.9","1","GB/T5783-2000"
"58","00771100800001030","Кожух зубчатого венца","1",""
"59","1040301502","Шайба 10","2","GB/T93-1987"
"60","1040100714","Винт M12×130-8.8","1","GB/T70.1-2000"
"61","00771100800001080","Стопорный штифт","1",""
