"№ п/п","Код мат-ла","Наименование и
спецификация","Кол-во
штук","Примечание"
"1","1040004522","Нарезной болт с
шестигранной головкой
M8×50-8.8","1","GB/T 5783-2000"
"2","1040301515","Плоская шайба класса А
8-200HV","2","GB/T 97.1-2002"
"3","00773400100201020","Сердцевина замка","1",""
"4","1040201880","Сочетанная колпачковая
гайка M8-6","1","GB/T 802-1988"
"5","00775600101801020","Пружина","1",""
"6","00773400100230000","Вращающаяся дверь","1",""
"7","1101000138","Возвратный шарнир","2",""
"8","1040102599","Винт с потайной головкой
и крестообразным
шлицем
M5×12-A2-70","16","GB/T 819.1-2000"
"9","00771600100210000","Сварная конструкция
платформы","1",""
"10","00771400100201040","Фиксирующий штифт
раздвижной двери","4",""
"11","1040500475","Разводной штифт 3×20","4","GB/T 91-2000"
"12","00771400100230000","Съемная раздвижная
дверь I","1",""
"13","00771600100201010","Нейлоновый шкив","4",""
"14","1040302489","Плоская шайба класса А
10-200HV","8","GB/T 97.1-2002"
"15","1040300043","Осевое
пружинное
стопорное
кольцо
класса
А 10","4","GB/T894.1-1986"
"16","00771100100201010","Перегородка","1",""
