"№ п/п","Код мат-ла","Наименование и
спецификация","Кол-во
штук","Примечание"
"1","1000000734","Дизельный двигатель","1",""
"2","00771107120201010","Монтажная панель Ⅰ","1",""
"3","1009805935","Эластичная муфта в сборе","1",""
"4","1040101835","Винт","8","5/16-18UNC-2A×
25-10.9"
"5","00771107120201030","Крышка муфты","1",""
"6","1040302489","Шайба 10-200HV","20","GB/T97.1-2002"
"7","1040003028","Болт","12","3/8-16UNC-2A×3
0-10.9"
"8","00771107120201040","Монтажная панель Ⅱ","1",""
"9","1040005842","Болт","8","3/8-16UNC-2A×2
5-10.9"
"10","00771107120201020","Монтажная панель Ⅲ","2",""
"11","1001500061","Демпфер двигателя","8",""
"12","00773407100201050","Подкладка","4",""
"13","1040200161","Гайка M16-8","4","GB/T889-1986"
"14","1040003535","Болт M14×1.5×30-10.9","8","GB/T5786-2000"
"15","1040302491","Шайба 14-200HV","8","GB/T97.1-2002"
"16","1040302492","Шайба 16-200HV","4","GB/T97.1-2002"
"17","1040003912","Болт M16×120-10.9-DKL","4","GB/T5783-2000"
