"№ п/п","Код мат-ла","Наименование и
спецификация","Кол-во
штук","Примечание"
"1","00773407000201060","Знак заправки по руководству
по эксплуатации","1",""
"5","00773407000201150","Знак «Отключить аккумулятор»","1",""
"8","00773407000201180","Знак «Запрещается наступать»","4",""
"21","00773407000201370","Знак 1 «Взрывоопасно»","1",""
"22","00773407000201380","Знак 2 «Взрывоопасно»","1",""
"27","00773407000201430","Знак «Подъем»","4",""
"37","00771407000201080","Знак в виде синей стрелки","3",""
"38","00771407000201090","Знак в виде желтой стрелки","3",""
"39","00771407000201100","Знак в виде желтого
треугольника","2",""
"40","00771407000201110","Знак в виде синего
треугольника","2",""
"45","00771407000201150","Дизельный бак","1",""
"46","00771407000201160","Гидравлический бак","1",""
"49","00773407000201480","Низкий уровень масла","1",""
"50","00773407000201490","Высокий уровень масла","1",""
