"№ п/п","Код мат-ла","Наименование и
спецификация","Кол-во
штук","Примечание"
"1","00771100300001010","Штифт","1",""
"2","00771100600001060","Не требующий смазки
подшипник","2",""
"3","00771100600001100","Распорная втулка","1",""
"4","00773400200001070","Стопорный штифт","1",""
"5","1040004499","Болт M20×45-8.8","1","GB/T5783-2000"
"6","00771100610001050","Штифт","2",""
"7","00771100610001040","Не требующий смазки
подшипник","2",""
"8","00771100600001070","Прокл-ка","2",""
"9","1040004606","Болт M20×160-10.9","2","GB/T5783-2000"
"10","1040301033","Шайба 20-8-200HV","4","GB/T 97.1-2002"
"11","1040200741","Гайка M20- 10","2","GB/T 889.1-2000"
"12","00771100600800000","Гидроцилиндр изменения
вылета","1",""
"13","00771100610001030","Не требующий смазки
подшипник","4",""
"14","00771100611000000","Задний правый шатун","1",""
"15","00771100610200000","Задний левый шатун","1",""
"16","1040004499","Болт M20×45-8.8","1","GB/T5783-2000"
"17","00773400400001170","Стопорный штифт","1",""
"18","00771100610001020","Штифт","1",""
"19","00771100600001090","Шайба","1",""
"20","1040300568","Стопорное кольцо 65","1","GB/T894.2-1986"
"21","00771100300001010","Штифт","1",""
"22","00773400200001070","Стопорный штифт","5",""
"23","1040004511","Болт M12×30-8.8","5","GB/T5783-2000"
"24","00771400301601020","Не требующий смазки
подшипник","2",""
"25","00771100300001060","Распорная втулка поршневого
штока","1",""
"26","00771100600601010","Штифт","4",""
