"№ п/п","Код мат-ла","Наименование и
спецификация","Кол-во
штук","Примечание"
"1","1040302489","Шайба 10-200HV","20","GB/T97.1-2002"
"2","1040002434","Болт M10×25-8.8","12","GB/T5783-2000"
"3","00773400300001140","Регулировочная
прокладка V","4",""
"4","00773400300001150","Регулировочная
прокладка Ⅵ","8",""
"5","00771100301250000","Сухарь","4",""
"6","1040004619","Болт M8×35-8.8","8","GB/T5783-2000"
"7","1040301515","Шайба 8-200HV","8","GB/T97.1-2002"
"8","00771100301601030","Перекрывающая пластина
каната втягивания стрелы","2",""
"9","00771100300801030","Стальной канат
втягивания стрелы","2",""
"10","00771400301240000","Сухарь","2",""
"11","00771400301401030","Регулировочная
прокладка","4",""
"12","00771400301401020","Регулировочная
прокладка","4",""
"13","00771400301401010","Регулировочная
прокладка","2",""
"14","1040004565","Болт M10×30-8.8","4","GB/T5783-2016"
"15","00771400301250000","Сухарь","2",""
"16","00771100301601040","Вкладыш","2",""
"17","00771100310600000","3-я секция стрелы","1",""
