"№ п/п","Код мат-ла","Наименование и
спецификация","Кол-во
штук","Примечание"
"1","00771100310000000","Стрела","1",""
"2","00771100721200000","Стальная буксируемая цепь","1",""
"3","00771100720600000","Сварная конструкция
неподвижной алюминиевой
трубы","1",""
"4","00771100720001010","Подвижная алюминиевая труба","1",""
"5","00771100720800000","Передний кронштейн","1",""
"6","00771400700001010","Шайба","4",""
"7","00771400721400000","Поворотный кронштейн","1",""
"8","00771100720400000","Средняя опора","1",""
"9","00771100720001040","Скользящая опора","2",""
"10","00771100720001060","Прижимная планка каретки","1",""
"11","00771100720001100","Трубный зажим","3",""
"12","00771100720001090","Опорная планка трубопровода","3",""
"13","00771100720001070","Прижимной блок трубопровода","2",""
"14","00771100720001080","Прижимная планка
трубопровода","2",""
"15","00771100721000000","Опорная рама","1",""
"16","00771100720200000","Верхний переходник","1",""
"17","00771100720001050","Сухарь","1",""
"18","1040102037","Винт M8×70-8.8","4","GB/T70.1-2000"
"19","1040301515","Шайба 8-200HV","67","GB/T97.1-2002"
"20","1040200503","Гайка M8-8","31","GB/T889.1-2015"
