"№ п/п","Код мат-ла","Наименование и
спецификация","Кол-во
штук","Примечание"
"1","1140101737","Прямоугольный
композитный
штуцер","1","EW28LOMDCF"
"2","1140102940","Прямой соединитель","1","GE28LR3/4EDOMDCF"
"3","1140101461","Прямой соединитель","4","GE10LREDOMDCF"
"4","1140101464","Прямой соединитель","1","GE15LREDOMDCF"
"5","1140101463","Прямой соединитель","1","GE12LR1/2EDOMDCF"
"6","1140111237","Прямой соединитель","3","GE08LREDOMDCF"
"7","1140101465","Прямой соединитель","1","GE15LR3/8EDOMDCF"
"8","1140102939","Прямой соединитель","1","GE20SR1/2EDOMDCF"
"9","1140108469","Прямой соединитель","1","GE08LR3/8EDOMDCF"
"10","1140101462","Прямой соединитель","1","GE12LREDOMDCF"
"11","1040302489","Шайба 10-200HV","2","GB/T97.1-2002"
"12","1040301502","Шайба 10","2","GB/T93-1987"
"13","1040002434","Болт M10×25-8.8","2","GB/T5783-2000"
"14","1010306165","Главный клапан","1",""
