"№ п/п","Код мат-ла","Наименование и
спецификация","Кол-во
штук","Примечание"
"2","00773407000201070","Знак «Опасность поражения
электрическим током»","6",""
"3","00773407000201080","Знак инструкции управления
наземным блоком управления","1",""
"6","00773407000201160","Знак «К работе допускается
только уполномоченный
персонал, прошедший
обучение»","1",""
"7","00773407000201170","Знак «Запрещается
прикасаться»","1",""
"11","00773407000201210","Знак «Опасность защемления»","3",""
"12","00771409900601042","ZT20J Паспортная табличка","1",""
"14","00773407000201240","Знак «Запрещается подъем»","6",""
"15","00773407000201250","Знак «При транспортировке
необходимо вставить
стопорный штифт»","1",""
"16","00773407000201260","Знак «Меры предосторожности
при использовании»","2",""
"17","00773407000201270","Знак «Запрещается промывать
высоконапорной водой»","3",""
"18","00773407000201310","Знак «Категорически
запрещается модифицировать
концевой выключатель»","1",""
"20","00773407000201360","Знак колеса «Опасность
опрокидывания»","4",""
"24","00773407000201400","Знак «Внимательно прочитайте
инструкцию»","1",""
"26","00773407000201420","Знак «Строповка»","8",""
