"№ п/п","Код мат-ла","Наименование и
спецификация","Кол-во
штук","Примечание"
"27","00773407000201430","Знак «Подъем»","4",""
"28","00773407000201440","Знак «Руководство по
эксплуатации выключателя
основного питания»","1",""
"29","00773407000201450","Знак «Предэксплуатационная
проверка»","2",""
"30","00773407000201470","Знак предупреждения ожогов","1",""
"33","00771107000201020","Знак «Опасность
опрокидывания»","4",""
"35","00771107000201010","Знак схемы безопасного
рабочего диапазона","2",""
"37","00771407000201080","Знак в виде синей стрелки","3",""
"38","00771407000201090","Знак в виде желтой стрелки","3",""
"41","00773407000201030","LOGO2 ЗУМЛИОН кузова","2",""
"42","00771407000201130","LOGO ЗУМЛИОН стрелы","1",""
"43","00771107000201040","Номер модели","1",""
"47","00771407000201170","Экологический ярлык","1",""
"48","00771107000201030","Знак напоминания и
инструкции по
транспортировке и подъему","1",""
