"№ п/п","Код мат-ла","Наименование и
спецификация","Кол-во
штук","Примечание"
"1","00771107110601010","Ветровой щит","1",""
"2","00773407120601030","Изогнутая пластина III","1",""
"3","1040200503","Гайка M8-8","21","GB/T889.1-2000"
"4","00773407120601020","Изогнутая пластина II","1",""
"5","1140114618","Прямой соединитель","2",""
"6","1140251606","Резиновая труба в сборке","1",""
"7","1140251605","Резиновая труба в сборке","1",""
"8","1000300750","Вентилятор в сборе","1",""
"9","1040002281","Болт M8×20- 10,9","4","GB/T5783-2000"
"10","1000300751","Блок радиатора","1",""
"11","1040200507","Гайка M12-8","4","GB/T889.1-2000"
"12","00773407100601140","Подкладка","6",""
"13","1040002262","Болт M12×55-10.9","4","GB/T5783-2000"
"14","1040302490","Шайба 12-200HV","4","GB/T97.1-2002"
"15","00773407100601130","Губка изоляции","2",""
"16","00773407120601010","Изогнутая пластина I","1",""
"17","1040301515","Шайба 8-200HV","33","GB/T97.1-2002"
"18","1040004517","Болт M8×16-8.8","8","GB/T5783-2000"
"19","00773407120601070","Пластина Ⅳ","2",""
"20","1040004519","Болт M8×25-8.8","21","GB/T5783-2000"
"21","00771107110601030","Пластина III","1",""
"22","00773407120601040","Пластина I","1",""
"23","00771107110601020","Пластина II","1",""
