"№ п/п","Код мат-ла","Наименование и
спецификация","Кол-во
штук","Примечание"
"1","1040002446","Болт M16×40-8.8","1","GB/T5783-2000"
"2","00773400400001250","Стопорный штифт","1",""
"3","00771102800001040","Штифт","1",""
"4","00771102800001060","Износостойкая пластина","1",""
"5","00771102800001220","Не требующий смазки
подшипник","2",""
"6","00771102810400000","Сварная конструкция передней
оси","1",""
"7","00771402800001100","Панель","2",""
"8","00771402800001090","Панель","2",""
"9","00771402800001080","Панель","4",""
"10","1040301515","Шайба 8-200HV","4","GB/T97.1-2002"
"11","1040004518","Болт M8×20-8.8","4","GB/T5783-2000"
"12","00771102800600000","Плавающий гидроцилиндр","2",""
"13","1040302493","Шайба 20-200HV","8","GB/T97.1-2002"
"14","1040004635","Болт M20×70-8.8","8","GB/T5783-2000"
