"№ п/п","Код мат-ла","Наименование и
спецификация","Кол-во
штук","Примечание"
"1","00771107100401070","Изогнутая пластина","1",""
"2","1000000728","Дизельный двигатель","1",""
"3","1040001640","Болт M6×25-A2-70","4","GB/T5783-2000"
"4","00771107110201020","Изогнутая пластина IV","1",""
"5","00773407100201020","Изогнутая пластина II","1",""
"6","1030400480","Эластичная муфта в сборе","1",""
"7","1040004033","Болт M10×25-10.9","8","GB/T5783-2000"
"8","1040101492","Винт M10×25-8.8","11","GB/T70.1-2000"
"9","00773407100201070","Крышка муфты","1",""
"10","1040004513","Болт M14×40-10.9","4","GB/T5783-2000"
"11","1040302491","Шайба 14-200HV","8","GB/T97.1-2002"
"12","00773407100201010","Изогнутая пластина I","1",""
"13","1040200161","Гайка M16-8","4","GB/T889-1986"
"14","00773407100201050","Подкладка","4",""
"15","1001500061","Демпфер двигателя","8",""
"16","00773407120201010","Изогнутая пластина III","1",""
"17","1040302492","Шайба 16-200HV","4","GB/T97.1-2002"
"18","1040004038","Болт M14×30-10.9","4","GB/T5783-2000"
"19","1040003912","Болт M16×120-10.9-DKL","4","GB/T5783-2000"
