"№ п/п","Код мат-ла","Наименование и
спецификация","Кол-во
штук","Примечание"
"1","1000400491","Топливный бак в сборе","1",""
"2","00771107120401030","Топливная труба II","1",""
"3","00771107120401020","Топливная труба I","1",""
"4","1040102372","Болт с цилиндрической
головкой и внутренним
шестигранником M6×20-A2-70","3","GB/T70.1-2000"
"5","1040300771","Шайба 6-200HV","3","GB/T97.1-2002"
"6","1990200692","Клейкая лента, покрытая слоем
пластмассы","3",""
"7","00773407100401060","Пустотелый болт M16×1.5×35","2",""
"8","1081000673","Комбин. уплот. шайба","4","JB/T982-1977
16"
"9","00773407100401050","Штуцер II","2",""
"10","1000400478","Водо-масляный сепаратор","1",""
"11","1040004619","Болт M8×35-8.8","2","GB/T5783-2000"
"12","1040301515","Шайба 8-200HV","5","GB/T97.1-2002"
"13","00771107120401040","Топливная труба III","1",""
"14","00771107120401010","Монтажная панель","1",""
"15","1040004518","Болт M8×20-8.8","3","GB/T5783-2000"
"16","1040200503","Гайка M8-8","2","GB/T889.1-2000"
"17","00773407130401040","Штуцер","1",""
"18","00771107120401060","Топливная труба V","1",""
"19","00773407130401060","Гибкая ось акселератора","1",""
"20","1990202279","Хомут червяка и червячного
колеса","10",""
"21","00771107120401050","Топливная труба IV","1",""
"22","00771107100401080","Подкладка","2",""
