"№ п/п","Код мат-ла","Наименование и
спецификация","Кол-во
штук","Примечание"
"1","1040004511","Болт M12×30-8.8","2","GB/T5783-2000"
"2","1040302490","Шайба 12-200HV","2","GB/T97.1-2002"
"3","1010100843","Поворотный двигатель","1",""
"4","1040004513","Болт M14×40-10.9","9","GB/T5783-2000"
"5","1040302491","Шайба 14-200HV","9","GB/T97.1-2002"
"6","1030202187","Поворотный редуктор","1",""
"7","1040004614","Болт M20×65-10.9","5","GB/T5782-2000"
"8","00771100900001020","Фиксирующий штифт","1",""
"9","1040302502","Шайба 20","45","GB/T1230-1991"
"10","00771100900001010","Соединительная планка
редуктора","1",""
"11","1040004529","Болт M20×110-10.9","40","GB/T1228-1991"
"12","1031500345","Поворотный подшипник","1",""
