"№ п/п","Код мат-ла","Наименование и
спецификация","Кол-во
штук","Примечание"
"27","00771400300850000","Шкив втягивания стрелы","2",""
"28","00771100300801030","Стальной канат втягивания
стрелы","2",""
"29","00771100300840000","Шкив выдвижения стрелы","1",""
"30","00771100300801030","Не требующий смазки
подшипник Ⅱ","2",""
"31","00771100300810000","Гидроцилиндр
выдвижения-втягивания","1",""
"32","00771100300801110","Боковой ползун шкива","2",""
"33","1040302489","Шайба 10-200HV","9","GB/T97.1-2002"
"34","1040004620","Болт M10×150-8.8","2","GB/T5782-2000"
"35","1040004594","Болт M10×140-8.8","2","GB/T5782-2000"
"36","1040004554","Болт M10×130-8.8","2","GB/T5782-2000"
"37","00771100310801120","Ползун шкива","1",""
"38","1040200113","Гайка M10-8","4","GB/T6170-2000"
"39","00771400301241020","T-образная гайка","2",""
"40","00771100300830000","Штифт шкива выдвижения
стрелы","1",""
"41","1040301502","Шайба 10","1","GB/T93-1987"
"42","1040002433","Болт M10×20-8.8","1","GB/T5783-2000"
