"№ п/п","Код мат-ла","Наименование и
спецификация","Кол-во
штук","Примечание"
"1","1040004517","Болт M8×16-8.8","24","GB/T5783-2000"
"2","1040301515","Шайба 8-200HV","24","GB/T97.1-2002"
"3","00771100301800000","Сварная конструкция
уплотнительной пластины","1",""
"4","00771100300001030","Боковая перекрывающая
пластина","2",""
"5","00771400711800000","Регулируемый трубный зажим","2",""
"6","1040004519","Болт M8×25-8.8","6","GB/T5783-2000"
"7","00771100310890000","Сварная конструкция
перекрывающей пластины,
правая","1",""
"8","00771100301201010","Не требующий смазки
подшипник","2",""
"9","00771100301220000","Боковая противопылевая щетка","2",""
"10","00771100301230000","Верхняя противопылевая щетка","1",""
"11","00771100301210000","Нижняя противопылевая щетка","1",""
"12","00771100310200000","1-я секция стрелы","1",""
"13","00771100301201020","Не требующий смазки
подшипник","2",""
"14","00771100310880000","Сварная конструкция
перекрывающей пластины,
левая","1",""
"15","00771100300810000","Гидроцилиндр
выдвижения-втягивания","1",""
"16","00771100300801010","Штифт гидроцилиндра
выдвижения-втягивания","2",""
"17","00773400400001250","Стопорный штифт","2",""
"18","1040004570","Болт M16×30-8.8","2","GB/T5783-2000"
"19","00771100300801030","Стальной канат втягивания
стрелы","2",""
"20","00771400300830000","Неподвижный шкив","2",""
