"№ п/п","Код мат-ла","Наименование и
спецификация","Кол-во
штук","Примечание"
"27","00771100600630000","Главный гидроцилиндр
выравнивания","1",""
"28","00771100610400000","Передний шатун","1",""
"29","1040004570","Болт M16×30-8.8","1","GB/T5783-2000"
"30","00773400400001250","Стопорный штифт","1",""
"31","00771100610001010","Штифт","1",""
"32","00771100600601020","Не требующий смазки
подшипник","2",""
"33","00771100600001080","Шайба","1",""
"34","1040300321","Стопорное кольцо 55","1","GB/T894.2-1986"
"35","00771100600620000","Маятниковый рычаг
выравнивания","1",""
"36","00771400301601020","Не требующий смазки
подшипник","4",""
"37","00771100600610000","Тяга выравнивания","1",""
"38","00771100800001050","Штифт","2",""
