"№ п/п","Код материалов","Наименование и спецификация","Кол-во","Примечание"
"1","1000000823","Дизельный двигатель","1",""
"2","1040003912","Болт M16×120-10,9-DKL","4","GB/T5783"
"3","1040302492","Шайба 16-200HV","4","GB/T97.1"
"4","00773407140201060","Шайба","16",""
"5","1040302490","Шайба 12-200HV","15","GB/T97.1"
"6","1040002273","Болт M12×1.25×30-10.9","15","GB/T5786"
"7","00773407140201040","Изогнута пластинка III","1",""
"8","00773407140201050","Гнутая пластина V","4",""
"9","1009900979","Амортизатор двигателя","8",""
"10","00773407100201050","Подкладка","1",""
"11","1040200161","Гайка M16 -8","4","GB/T889"
"12","00773407140201010","Крышка муфты","1",""
"13","1040100097","Винт M10×30-8,8","8","GB/T70.1"
"14","1040101692","Болт 10×1.25×25-10.9","3","GB/T5786"
"15","1009900968","Пружинная муфта в сборе","1",""
"16","00773407140201020","Гнутая пластина I","1",""
"17","00773407140201030","Гнутая пластина II","1",""
"18","1040302489","Шайба 10-200HV","1","GB/T97.1"
"19","1040003357","Болт M10×1.25×30-10.9","1","GB/T5786"
