"№ п/п","Код материалов","Наименование и спецификация  Кол-во","","Примечание"
"1","1029905348","Аккумулятор","1",""
"2","1020605356","Кольцевой предохранитель","2",""
"","0067220632181001A-c","Опора кольцевого 
предохранителя","2",""
"","1020402443","Изоляционная гайка","2",""
"3","00773606200450050","Соединительная линия между 
вспомогательным силовым 
насосом и предохранителем","1",""
"4","00773606200450070","Провод от положительного 
полюса аккумулятора к 
предохранителю подогрева","1",""
"5","00773406200450020","Соединительный провод от 
отрицательного полюса 
аккумулятора к ручному 
переключателю","1",""
"6","1029900667","Ручной переключатель","1",""
"7","00773406200450030","Соединительный провод от 
ручного переключателя к 
металлизации","1",""
"8","00773406200450060","Соединительный провод между 
двигателем и металлизацией","1",""
"9","/","Болт металлизации","1",""
"10","00773606200450080","Пусковой мотор соединяется с 
генератором","/",""
"11","1020305006","Контактор постоянного тока","1",""
"12","00773406200450010","Соединительный провод между 
аккумулятором и пусковым 
мотором","1",""
"13","00773606200450010","Металлизация отрицательного 
полюса соединяется с 
отрицательным полюсом 
вспомогательного насоса","1",""
