"№ п/п","Код материалов","Наименование и спецификация  Кол-во","","Примечание"
"1","1040103076","Винт    M8×16-8.8","4","GB/T70.3"
"2","00773700400001290","Скоба","2",""
"3","00773700200001070","Штифт","1",""
"4","00773700200200000","Опора","1",""
"5","00773400200001020","Подшипник","2",""
"6","00773400200001010","Подшипник","10",""
"7","00773700200001010","Подшипник","2",""
"8","00773700200001082","Щиток трубы","1",""
"9","1040004619","Болт M8×35-8.8","4","GB/T5783"
"10","1040301515","Шайба 8-200HV","8","GB/T97.1"
"11","1040103133","Винт M6×30-A2-70","8",""
"12","00773700200001100","Зажимная планка трубопровода","2",""
"13","00773700200001090","Фиксирующий желоб для трубы","2",""
"14","1040004517","Болт M8×16-8.8","4","GB/T5783"
"15","1040301510","Шайба 8","4","GB/T93"
"16","00771400211200000","Подвижный трубный хомут","2",""
"17","00773700200400002","Верхний шатун","1",""
"18","1040002433","Болт M10×20-8.8","6","GB/T5783"
"19","00773400300001200","Стопорный штифт","6",""
"20","00773700200001050","Штифт","2",""
"21","1010201471","Качающийся цилиндр","1","L20-8-180"
"22","00773700200810000","Гидроцилиндр консоли","1",""
"23","00773700200600000","Нижний шатун","2",""
"24","00773700200001060","Штифт","2",""
